timeslot,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
A0,"unstack(31, 3)","putdown(31,)","unstack(9, 39)","putdown(9,)","unstack(8, 40)","putdown(8,)","pickup(35,)",,,"stack(35, 37)","unstack(24, 4)","stack(24, 15)","unstack(4, 32)","putdown(4,)","unstack(44, 46)","putdown(44,)","unstack(45, 19)","stack(45, 6)",,,
A1,"unstack(38, 16)","putdown(38,)","unstack(23, 26)","putdown(23,)","unstack(20, 12)","putdown(20,)","unstack(40, 22)","putdown(40,)","unstack(43, 2)","putdown(43,)","unstack(2, 41)","putdown(2,)","pickup(26,)",,,,"stack(26, 44)","pickup(28,)","stack(28, 45)",,
A2,"unstack(33, 18)","putdown(33,)","unstack(18, 20)","putdown(18,)","pickup(6,)",,,,,,,,,,"stack(6, 29)",,,,,,
A3,"unstack(36, 34)",,,,,,,,,,,,"stack(36, 42)","pickup(41,)","stack(41, 13)",,,,,,
A4,,"unstack(3, 29)","putdown(3,)","unstack(39, 43)",,,,,,,"stack(39, 25)","pickup(38,)","stack(38, 43)",,,,,"unstack(49, 21)","putdown(49,)","pickup(50,)","stack(50, 24)"
A5,"unstack(47, 13)",,,,,,,,,,,"stack(47, 22)","pickup(8,)",,,"stack(8, 41)",,,,,
A6,,"unstack(1, 23)","putdown(1,)","unstack(26, 17)","putdown(26,)","unstack(17, 10)","putdown(17,)","unstack(37, 25)","stack(37, 33)","unstack(22, 44)","stack(22, 40)","pickup(27,)","stack(27, 48)","unstack(32, 28)","putdown(32,)","pickup(46,)","stack(46, 38)","unstack(19, 50)","putdown(19,)","pickup(21,)","stack(21, 9)"
A7,"unstack(14, 8)","putdown(14,)","unstack(29, 11)",,,,,,,,,,,"stack(29, 36)",,,,,,,
A8,"unstack(15, 1)",,"stack(15, 14)","unstack(35, 5)","putdown(35,)","unstack(11, 24)","putdown(11,)","pickup(16,)",,,,,"stack(16, 2)",,,,,,,,
A9,"unstack(6, 9)","putdown(6,)","unstack(16, 35)","putdown(16,)","unstack(5, 37)","putdown(5,)","unstack(12, 42)","stack(12, 31)","unstack(25, 30)","putdown(25,)","unstack(42, 27)","stack(42, 39)","unstack(13, 45)","stack(13, 11)","unstack(34, 7)","stack(34, 47)","unstack(7, 49)","stack(7, 35)",,,
