timeslot,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
A0,"unstack(36, 68)","putdown(36,)","pickup(36,)",,,,,,"stack(36, 13)",,,"pickup(48,)",,,,,,,,,,,"stack(48, 25)","unstack(64, 72)","putdown(64,)",,,"unstack(1, 23)","stack(1, 47)",
A1,"unstack(7, 46)","putdown(7,)","unstack(69, 4)","putdown(69,)","unstack(10, 34)","putdown(10,)","pickup(13,)","stack(13, 69)","pickup(61,)",,,,,,,,,"stack(61, 60)","pickup(55,)","stack(55, 77)","unstack(25, 6)","putdown(25,)",,,,,,,,
A2,"unstack(30, 65)","putdown(30,)","unstack(68, 57)","putdown(68,)","pickup(16,)",,"stack(16, 51)","pickup(59,)","stack(59, 46)","unstack(22, 41)","putdown(22,)","pickup(41,)","stack(41, 59)","unstack(19, 45)","putdown(19,)","unstack(60, 75)","putdown(60,)","unstack(47, 78)","putdown(47,)","unstack(56, 49)","stack(56, 35)","unstack(6, 15)","putdown(6,)","unstack(50, 33)","putdown(50,)",,,,,
A3,"unstack(35, 37)","putdown(35,)","unstack(16, 51)","putdown(16,)","unstack(8, 59)","putdown(8,)","unstack(43, 14)","stack(43, 2)","unstack(76, 48)","stack(76, 34)","unstack(79, 20)","stack(79, 4)","pickup(54,)",,,"stack(54, 20)",,,,,,,"unstack(15, 64)","putdown(15,)",,,,,,
A4,"unstack(70, 44)","putdown(70,)","unstack(46, 8)","putdown(46,)","unstack(57, 43)","putdown(57,)","unstack(74, 63)",,,,"stack(74, 14)","unstack(77, 3)","stack(77, 10)","pickup(8,)",,,,,,,,,,,,,"stack(8, 29)","pickup(39,)","stack(39, 76)",
A5,"unstack(71, 52)","putdown(71,)","unstack(32, 54)","stack(32, 70)","unstack(18, 77)","putdown(18,)","unstack(52, 79)",,,,,,"stack(52, 21)","unstack(20, 73)","stack(20, 40)","pickup(68,)","stack(68, 79)","unstack(73, 25)",,,,,,,,,,,,"stack(73, 39)"
A6,"unstack(40, 69)","putdown(40,)","unstack(37, 13)","putdown(37,)","unstack(13, 2)","putdown(13,)","unstack(34, 22)","putdown(34,)","unstack(14, 55)","putdown(14,)","unstack(9, 26)","stack(9, 65)","pickup(35,)",,,,,,"stack(35, 62)","unstack(78, 11)","putdown(78,)","unstack(49, 58)","putdown(49,)",,,,,,,
A7,"unstack(28, 32)","putdown(28,)","unstack(65, 10)","putdown(65,)","unstack(51, 67)","putdown(51,)","unstack(54, 42)","putdown(54,)","unstack(21, 9)",,,"stack(21, 74)","unstack(26, 12)","putdown(26,)","pickup(45,)","stack(45, 28)","unstack(62, 47)","putdown(62,)","unstack(3, 5)","stack(3, 71)","pickup(11,)","stack(11, 44)","unstack(5, 29)","stack(5, 63)","unstack(29, 39)","stack(29, 54)","unstack(66, 1)","stack(66, 19)",,
A8,"unstack(31, 16)","putdown(31,)","pickup(40,)",,,,"stack(40, 18)","unstack(42, 17)","putdown(42,)","unstack(48, 27)","putdown(48,)","unstack(17, 56)",,,,,,"stack(17, 68)",,,,,"unstack(58, 50)","putdown(58,)","unstack(33, 66)","stack(33, 43)",,,,
A9,"unstack(61, 74)","putdown(61,)","unstack(44, 18)","putdown(44,)","unstack(4, 21)","putdown(4,)","unstack(67, 38)","putdown(67,)","unstack(38, 19)","putdown(38,)","unstack(55, 53)","putdown(55,)","unstack(63, 62)","putdown(63,)","unstack(27, 60)","putdown(27,)","unstack(75, 24)","putdown(75,)","pickup(63,)",,,"stack(63, 78)",,,,,,,,
